feature,shap_importance
Sex,2.010526881942163
Pclass,0.9513787634589369
Name_master,0.8780509883581444
Ticket_347082,0.24137258266403142
SibSp,0.21140439113029286
Name_mr,0.17576583604182272
Cabin,0.1659280717059106
Name_mrs,0.15043254138503034
Name_andersson,0.143451344293119
Name_kate,0.13778236087969012
Name_alice,0.1214041164958772
Ticket_3101295,0.12053310013316479
Name_miss,0.11500640591914826
Ticket_113806,0.11324450701085918
Ticket_pc,0.11014476884160192
Name_alfred,0.108027548932827
Ticket_113760,0.10159471103552478
Name_bertha,0.10080430609257833
Name_ernest,0.09977435030093475
Name_richard,0.0996361617745927
Ticket_pp,0.09819182679913646
Parch,0.09783669112653369
Name_john,0.09120262541155279
Name_carl,0.0864652719368159
Name_anna,0.08591141232218201
Name_bourke,0.08524212904979253
Ticket_11751,0.08168083966266627
Ticket_ston,0.07911548092342201
Name_johan,0.07435655327680789
Ticket_382652,0.07428041934059425
Name_anne,0.07353483370417403
Ticket_1601,0.07311265319601905
Name_frederick,0.07177118801116404
Ticket_ca,0.0695593183236761
Name_joseph,0.06764428656732424
Ticket_2653,0.06691481184706345
Name_rice,0.06680529513998204
Ticket_19943,0.06604525828983053
Name_samuel,0.06578438185452472
Name_eugene,0.0655049015599366
Ticket_347742,0.06538244869888464
Name_jane,0.06502428838029203
Ticket_239853,0.06378691002081958
Name_hanna,0.05983350538669541
Ticket_113781,0.05977196126148575
Ticket_3336,0.05875145521820828
Name_henry,0.05789091395628093
Name_albert,0.05649845043361915
Ticket_347077,0.0564858496884985
Name_frank,0.05642381962778254
Name_thomas,0.05637628200884033
Ticket_4133,0.053393556197769185
Name_arthur,0.05277369381804698
PassengerId,0.05081698583640111
Ticket_11967,0.05025147607939028
Name_ida,0.05017603086378912
Name_norman,0.04978070759346941
Name_borland,0.04755746291010318
Ticket_17421,0.04627461874367834
Ticket_230080,0.04464268171227643
Name_bertram,0.04307908280252921
Name_marie,0.042868861314198356
Ticket_2627,0.04203892317795799
Name_johansson,0.04152353422835053
Ticket_17604,0.04004885523471956
Ticket_363291,0.03738037530378222
Name_goodwin,0.03717405161568197
Ticket_2144,0.03658730926334227
Ticket_113776,0.03647667844698559
Ticket_6608,0.03571702101437061
Ticket_220845,0.03565547467893089
Name_dr,0.034798153895175515
Name_ernst,0.033582764964772575
Name_lillian,0.03339199478879245
Ticket_13507,0.03319339295152734
Ticket_230433,0.033044830653941974
Name_edward,0.03270889127446206
Ticket_111361,0.03190075936129244
Name_victor,0.030727679121712273
Embarked,0.029847987730204008
Ticket_soton,0.029797216854874988
Ticket_2699,0.029122656757999393
Ticket_17757,0.02868807359797554
Ticket_13502,0.028582800901019518
Ticket_sc,0.02820901307472679
Ticket_14879,0.027961877659243798
Ticket_17755,0.027268549128259198
Name_campbell,0.027243321952196146
Name_van,0.027208963970213763
Ticket_113572,0.02715896387820313
Name_laroche,0.026697626441367923
Name_leonard,0.02635479418442584
Ticket_349213,0.025915526492644708
Name_ethel,0.02565037285929302
Ticket_2315,0.025566509975859648
Ticket_349246,0.025249993397698782
Ticket_349207,0.0244225273552836
Ticket_345767,0.024407481764772972
Name_karl,0.024237080343074206
Ticket_17572,0.024064428727993848
Name_george,0.023387127942871733
Name_jr,0.023380041615142504
Name_elizabeth,0.023302604094280425
Ticket_paris,0.023079019683503274
Ticket_13529,0.022317589499059126
Ticket_ah,0.021877473390959905
Ticket_248738,0.021781471023731958
