feature,mean_importance
Name_ernst,-0.04552872728690096
Ticket_347077,-0.038013127499091984
Name_sidney,-0.03702919553904345
Name_jr,-0.02381388465750205
Name_harry,-0.021824883019474585
Ticket_ca,-0.015544297734931356
Name_edward,-0.014532663325824525
Name_arthur,-0.01426019576764015
Ticket_sc,-0.006017020787817762
Name_hanna,-0.0058646508649650595
Name_mary,-0.005168684050854688
Fare,-0.004174753278364918
Name_dr,-0.004075013617553092
Name_joseph,-0.0035766029437350523
Name_anna,-0.0026300582199662915
Name_hansen,-0.002544641716282281
Name_victor,-0.002400117475030017
Name_hugh,-0.0020290032657343192
Name_john,-0.0018531970819898103
Embarked,-0.0015754341478599442
Name_august,-0.001486425484012388
Name_william,-0.0006439512523996437
Name_harris,-0.0006408167504593498
Ticket_oq,-0.00034887397998135673
Name_karl,-0.0001672602601532347
Ticket_371110,-0.00015921763049517868
Ticket_soton,-8.249509458739812e-05
Ticket_o2,-5.837000191593056e-05
Name_robert,-1.4672843385521439e-05
Ticket_11668,0.0
Name_smith,0.0
Name_solomon,0.0
Ticket_17604,0.0
Name_thayer,0.0
Ticket_349217,0.0
Ticket_17569,0.0
Ticket_363291,0.0
Ticket_17453,0.0
Ticket_17421,0.0
Ticket_349219,0.0
Ticket_14879,0.0
Name_viktor,0.0
Ticket_349237,0.0
Ticket_110152,0.0
Ticket_111361,0.0
Ticket_113505,0.0
Ticket_113572,0.0
Ticket_349909,0.0
Ticket_113776,0.0
Ticket_13507,0.0
Ticket_349246,0.0
Ticket_11967,0.0
Ticket_11751,0.0
Ticket_113806,0.0
Ticket_113789,0.0
Name_vander,0.0
Ticket_19943,0.0
Ticket_3101278,0.0
Ticket_3101279,0.0
Ticket_349215,0.0
Ticket_31027,0.0
Ticket_315153,0.0
Ticket_31921,0.0
Ticket_324669,0.0
Ticket_330877,0.0
Ticket_3336,0.0
Ticket_345765,0.0
Ticket_345767,0.0
Ticket_345773,0.0
Ticket_347080,0.0
Ticket_349214,0.0
Ticket_349207,0.0
Ticket_29750,0.0
Ticket_28403,0.0
Ticket_2699,0.0
Ticket_2668,0.0
Ticket_19950,0.0
Ticket_19996,0.0
Ticket_2123,0.0
Ticket_230433,0.0
Ticket_2315,0.0
Ticket_237736,0.0
Ticket_239853,0.0
Ticket_349216,0.0
Ticket_239865,0.0
Ticket_244252,0.0
Ticket_244367,0.0
Ticket_248738,0.0
Ticket_250655,0.0
Ticket_2627,0.0
Ticket_2653,0.0
Ticket_2666,0.0
Ticket_24160,0.0
Ticket_220845,0.0
Ticket_349213,0.0
Ticket_9549,0.0
Name_laroche,0.0
Name_edith,0.0
Name_johansson,0.0
Name_jean,0.0
Name_carl,0.0
Name_impe,0.0
Name_ida,0.0
Name_arnold,0.0
Name_catherine,0.0
Name_daniel,0.0
Name_graham,0.0
Ticket_364516,0.0
Name_david,0.0
Name_frank,0.0
Name_anders,0.0
Name_francis,0.0
Name_fortune,0.0
Name_davis,0.0
Name_eugene,0.0
Name_ethel,0.0
Name_emily,0.0
Ticket_5735,0.0
Name_lillian,0.0
Name_elisabeth,0.0
Name_bertram,0.0
Ticket_349209,0.0
Name_bourke,0.0
Name_palsson,0.0
Name_oskar,0.0
Name_brien,0.0
Ticket_54636,0.0
Name_nora,0.0
Ticket_364849,0.0
Ticket_367230,0.0
Name_borland,0.0
Name_moran,0.0
Name_martin,0.0
Name_martha,0.0
Name_campbell,0.0
Name_marie,0.0
Ticket_370365,0.0
Name_norman,0.00020700475260853056
Ticket_382652,0.0004518931208927324
Name_rice,0.0007160571089238843
Name_carter,0.0008920048258426183
Name_brown,0.0009993010716949247
Name_andersson,0.0011895648411304638
Name_johan,0.0012221794977599122
Ticket_paris,0.0012445707604267886
Ticket_2144,0.0013186157878103844
Name_sofia,0.0013771935647640676
Name_albert,0.0016009562783713572
Name_goodwin,0.001761616606177685
Ticket_17582,0.0018123413189602867
Name_anne,0.0018754786499883159
Ticket_pc,0.003394290728822158
Name_james,0.0036138369397536786
Name_frederick,0.003801300743924596
Name_thomas,0.00502572185312542
Name_patrick,0.005917014509847984
SibSp,0.00597474271819316
Ticket_pp,0.005986814653403361
Name_alexander,0.006115620181639292
Name_charles,0.006300971904083385
Name_peter,0.006322172781796853
Name_elizabeth,0.00711814549636045
Ticket_2343,0.007354479890173793
Name_bertha,0.008462406771419673
Ticket_34651,0.008546706717449925
Ticket_17757,0.008590098985407146
Name_williams,0.008604485029735032
Name_sage,0.008730322251041733
Name_ernest,0.009022348127881562
Ticket_113781,0.010536875278770208
Ticket_ah,0.011279217923207917
Ticket_347742,0.011550992850757735
Name_jane,0.012045450028396387
Name_george,0.012213319644287934
Name_samuel,0.012325291748674649
Ticket_230080,0.01246813757437688
Name_maria,0.013319172202847219
Name_olsen,0.015097447618513971
Name_henry,0.016014266742703297
PassengerId,0.016764201474560016
Name_leonard,0.01746682097314851
Parch,0.01820136129852117
Ticket_13529,0.018569981602969566
Ticket_17572,0.02015208683437526
Name_percival,0.021053001815428442
Ticket_4133,0.021470395254149642
Name_margaret,0.02330364318904159
Name_kate,0.026667001460100547
Ticket_17755,0.02753172988954522
Ticket_1601,0.029443081401912853
Name_hart,0.030683829881440982
Ticket_ston,0.03462417105140851
Name_miss,0.035359408640149324
Name_alfred,0.03540305859185675
Ticket_347082,0.03674725174586899
Ticket_6608,0.03924385308397986
Name_richard,0.03935499620552805
Name_van,0.04103097430260498
Age,0.04591581922944106
Name_alice,0.05011673828523091
Name_mr,0.054315859225690245
Ticket_13502,0.05637293267977574
Pclass,0.05937801160984717
Name_mrs,0.06044208439170995
Cabin,0.06540789417157152
Ticket_113760,0.06652409058096305
Sex,0.09210202391307729
Ticket_3101295,0.1087898641320982
Name_master,0.2475432233210963
