feature,mean_importance
Name_ernst,-0.01939859986039494
Ticket_347077,-0.016633820415733323
Ticket_ca,-0.011397672122786463
Name_thomas,-0.007503154565444236
Ticket_pc,-0.004968099606610122
Ticket_soton,-0.004517181961325123
Ticket_17582,-0.00420057276507575
Fare,-0.003920961109863919
Parch,-0.0036682280745723994
Name_jr,-0.00361625556297146
Name_dr,-0.0033850061410808374
Name_joseph,-0.0030923794145488958
Name_arthur,-0.003006566194055771
Name_harry,-0.0026347458329225694
Name_elizabeth,-0.0022590640736727674
Name_john,-0.002107364204313045
Parch_ratio_SibSp,-0.002074623238238016
Ticket_17757,-0.001820002434042478
Name_hanna,-0.001789381816500446
Parch_ratio_Pclass,-0.0015420290568379346
Parch_sum_Age,-0.0014395113332031362
Ticket_34651,-0.00136616743079484
Ticket_paris,-0.001354553687960447
Ticket_o2,-0.0013382729094934098
Name_johan,-0.0012376099525210238
Ticket_oq,-0.0010776803637528754
Age_diff_SibSp,-0.0010145474017930534
Name_sidney,-0.0009949133851172242
Name_anne,-0.0008582105730893352
Age,-0.0008554392966997782
Name_miss,-0.0007463907285787718
Name_karl,-0.0007089539387296728
Name_james,-0.0006999038462483176
Name_peter,-0.0006605690271535347
Name_victor,-0.0005180529851731563
Ticket_371110,-0.0003752453149850843
Name_brown,-0.00034143638301747936
Name_mary,-0.00017187327300584033
Name_harris,-0.00012058902474058054
Name_charles,-6.01802904327986e-05
Name_august,-2.4679352933731914e-05
Ticket_2315,1.1102230246251565e-16
Ticket_237736,1.1102230246251565e-16
Ticket_230433,1.1102230246251565e-16
Ticket_239853,1.1102230246251565e-16
Ticket_24160,1.1102230246251565e-16
Ticket_244252,1.1102230246251565e-16
Ticket_244367,1.1102230246251565e-16
Ticket_248738,1.1102230246251565e-16
Ticket_113505,1.1102230246251565e-16
Ticket_239865,1.1102230246251565e-16
Ticket_220845,1.1102230246251565e-16
Ticket_19943,1.1102230246251565e-16
Ticket_19996,1.1102230246251565e-16
Ticket_113789,1.1102230246251565e-16
Ticket_113806,1.1102230246251565e-16
Ticket_11668,1.1102230246251565e-16
Ticket_11751,1.1102230246251565e-16
Ticket_11967,1.1102230246251565e-16
Ticket_13507,1.1102230246251565e-16
Ticket_2123,1.1102230246251565e-16
Ticket_14879,1.1102230246251565e-16
Ticket_17453,1.1102230246251565e-16
Ticket_17569,1.1102230246251565e-16
Ticket_17604,1.1102230246251565e-16
Ticket_113572,1.1102230246251565e-16
Ticket_113776,1.1102230246251565e-16
Ticket_19950,1.1102230246251565e-16
Ticket_17421,1.1102230246251565e-16
Ticket_250655,1.1102230246251565e-16
Ticket_364849,1.1102230246251565e-16
Ticket_9549,1.1102230246251565e-16
Ticket_347080,1.1102230246251565e-16
Ticket_370365,1.1102230246251565e-16
Ticket_349207,1.1102230246251565e-16
Ticket_349209,1.1102230246251565e-16
Ticket_349213,1.1102230246251565e-16
Ticket_349214,1.1102230246251565e-16
Ticket_349215,1.1102230246251565e-16
Ticket_349216,1.1102230246251565e-16
Ticket_349217,1.1102230246251565e-16
Ticket_349219,1.1102230246251565e-16
Ticket_349237,1.1102230246251565e-16
Ticket_349246,1.1102230246251565e-16
Ticket_349909,1.1102230246251565e-16
Ticket_363291,1.1102230246251565e-16
Ticket_364516,1.1102230246251565e-16
Ticket_345773,1.1102230246251565e-16
Ticket_345767,1.1102230246251565e-16
Ticket_345765,1.1102230246251565e-16
Ticket_3336,1.1102230246251565e-16
Ticket_5735,1.1102230246251565e-16
Ticket_367230,1.1102230246251565e-16
Ticket_2666,1.1102230246251565e-16
Ticket_2668,1.1102230246251565e-16
Ticket_2699,1.1102230246251565e-16
Ticket_28403,1.1102230246251565e-16
Ticket_29750,1.1102230246251565e-16
Ticket_2627,1.1102230246251565e-16
Ticket_3101278,1.1102230246251565e-16
Ticket_111361,1.1102230246251565e-16
Ticket_31027,1.1102230246251565e-16
Ticket_54636,1.1102230246251565e-16
Ticket_315153,1.1102230246251565e-16
Ticket_31921,1.1102230246251565e-16
Ticket_324669,1.1102230246251565e-16
Ticket_330877,1.1102230246251565e-16
Ticket_3101279,1.1102230246251565e-16
Ticket_2653,1.1102230246251565e-16
Ticket_110152,1.1102230246251565e-16
Name_edith,1.1102230246251565e-16
Name_davis,1.1102230246251565e-16
Name_oskar,1.1102230246251565e-16
Name_graham,1.1102230246251565e-16
Name_elisabeth,1.1102230246251565e-16
Name_nora,1.1102230246251565e-16
Name_emily,1.1102230246251565e-16
Name_laroche,1.1102230246251565e-16
Name_palsson,1.1102230246251565e-16
Name_ethel,1.1102230246251565e-16
Name_moran,1.1102230246251565e-16
Name_fortune,1.1102230246251565e-16
Name_francis,1.1102230246251565e-16
Name_martin,1.1102230246251565e-16
Name_martha,1.1102230246251565e-16
Name_marie,1.1102230246251565e-16
Name_frank,1.1102230246251565e-16
Name_eugene,1.1102230246251565e-16
Name_david,1.1102230246251565e-16
Name_daniel,1.1102230246251565e-16
Name_catherine,1.1102230246251565e-16
Name_viktor,1.1102230246251565e-16
Name_vander,1.1102230246251565e-16
Name_ida,1.1102230246251565e-16
Name_impe,1.1102230246251565e-16
Name_anders,1.1102230246251565e-16
Name_thayer,1.1102230246251565e-16
Name_solomon,1.1102230246251565e-16
Name_arnold,1.1102230246251565e-16
Name_smith,1.1102230246251565e-16
Name_bertram,1.1102230246251565e-16
Name_borland,1.1102230246251565e-16
Name_bourke,1.1102230246251565e-16
Name_brien,1.1102230246251565e-16
Name_jean,1.1102230246251565e-16
Name_campbell,1.1102230246251565e-16
Name_carl,1.1102230246251565e-16
Name_johansson,1.1102230246251565e-16
Name_lillian,1.1102230246251565e-16
Name_williams,4.4673541489392846e-05
Name_goodwin,0.0001683045245185144
Name_robert,0.00017154568385510104
Name_henry,0.0002243336078716629
Ticket_2144,0.00022798766989414742
Ticket_ah,0.00025745419076477204
Name_carter,0.00029129591624066364
Ticket_sc,0.0003601979470873373
Name_george,0.00038289602044701
Name_hansen,0.0006446434443655114
Name_hugh,0.0007999141573709512
Name_william,0.0008477611649113648
Embarked,0.0008990504439101322
Name_norman,0.0010127188330467552
Name_edward,0.0014125373673963715
Name_patrick,0.0015508627048910096
Name_leonard,0.0015573596060391437
Name_albert,0.0016876802104107025
Name_sage,0.001741099677818192
Name_jane,0.0017761256099232182
Ticket_2343,0.0019354715671534128
Age_multiply_Pclass,0.002017008592438829
Name_ernest,0.0022564198057381636
Name_alexander,0.0023186834441321857
Name_margaret,0.0024732806082215066
Ticket_pp,0.0025525529955340853
Name_bertha,0.002742832656945593
Ticket_230080,0.002785257596095525
Name_rice,0.00306710808891123
PassengerId,0.003250063641935219
Name_sofia,0.0032684007166835505
Name_hart,0.0033121475355454176
Ticket_382652,0.0033278307088741243
Name_andersson,0.0034535056854894663
Name_olsen,0.0035749274302793953
Ticket_13502,0.003894298259553941
Ticket_17572,0.004679661732410667
Name_percival,0.004911994332682801
SibSp,0.0050307674324671535
Pclass_diff_Parch,0.0051576789009129655
Name_kate,0.00548100827542738
Ticket_4133,0.005595261958257924
Name_maria,0.005969469776544956
Name_mr,0.006090684603970442
Name_anna,0.00629684998834007
Name_frederick,0.006600179277942653
Ticket_13529,0.006739862202575597
Pclass_ratio_Parch,0.007221970661653055
Name_alfred,0.007372800227706855
Parch_sum_Pclass,0.007637157910977355
Name_van,0.007889211092065229
Ticket_113760,0.008601504092313316
Ticket_347742,0.00874100955025412
Cabin,0.010182203609152507
Name_richard,0.010317067756699872
Ticket_6608,0.010855020411665528
Name_mrs,0.012430036083162743
Name_samuel,0.015228799025354779
SibSp_ratio_Parch,0.0157423446781626
Pclass,0.02415498266039363
Ticket_17755,0.026343574116789024
Ticket_113781,0.030256880803409658
Name_alice,0.0317725047798247
Ticket_ston,0.034541324769539125
Ticket_3101295,0.04578408208674402
Ticket_1601,0.052019509011711276
Parch_multiply_Age,0.058116321754951905
Ticket_347082,0.06091192017445678
Name_master,0.26126995467973335
Sex,0.5177459172516352
