feature,mean_importance
Name_mary,-0.0004125132653741259
Name_henry,-0.00017270219702879562
Name_william,-7.83953319221764e-05
Name_elizabeth,-5.6759448436760615e-05
Name_vander,0.0
Ticket_14879,0.0
Ticket_1601,0.0
Ticket_17421,0.0
Ticket_17453,0.0
Ticket_17569,0.0
Ticket_17572,0.0
Ticket_17582,0.0
Ticket_17604,0.0
Ticket_17757,0.0
Ticket_13529,0.0
Ticket_19943,0.0
Ticket_19950,0.0
Ticket_19996,0.0
Ticket_2123,0.0
Ticket_2144,0.0
Ticket_220845,0.0
Ticket_230080,0.0
Ticket_17755,0.0
Ticket_13507,0.0
Ticket_11967,0.0
Ticket_230433,0.0
Name_sofia,0.0
Name_solomon,0.0
Name_thayer,0.0
Name_thomas,0.0
Name_van,0.0
Ticket_soton,0.0
Name_victor,0.0
Name_viktor,0.0
Name_williams,0.0
Ticket_13502,0.0
Ticket_110152,0.0
Ticket_113505,0.0
Ticket_113572,0.0
Ticket_113760,0.0
Ticket_113776,0.0
Ticket_113781,0.0
Ticket_113789,0.0
Ticket_113806,0.0
Ticket_11668,0.0
Ticket_11751,0.0
Ticket_111361,0.0
Ticket_2315,0.0
Ticket_2343,0.0
Ticket_237736,0.0
Ticket_345773,0.0
Ticket_34651,0.0
Ticket_347077,0.0
Ticket_347080,0.0
Ticket_347082,0.0
Ticket_347742,0.0
Ticket_349207,0.0
Ticket_349209,0.0
Ticket_349213,0.0
Ticket_345767,0.0
Ticket_349214,0.0
Ticket_349216,0.0
Ticket_349217,0.0
Ticket_349219,0.0
Ticket_349237,0.0
Ticket_349246,0.0
Ticket_349909,0.0
Ticket_363291,0.0
Ticket_364516,0.0
Ticket_364849,0.0
Ticket_349215,0.0
Ticket_345765,0.0
Ticket_3336,0.0
Ticket_330877,0.0
Ticket_239853,0.0
Ticket_239865,0.0
Ticket_24160,0.0
Ticket_244252,0.0
Ticket_244367,0.0
Ticket_248738,0.0
Ticket_250655,0.0
Ticket_2627,0.0
Ticket_2653,0.0
Ticket_2666,0.0
Ticket_2668,0.0
Ticket_2699,0.0
Ticket_28403,0.0
Ticket_29750,0.0
Ticket_3101278,0.0
Ticket_3101279,0.0
Ticket_3101295,0.0
Ticket_31027,0.0
Ticket_315153,0.0
Ticket_31921,0.0
Ticket_324669,0.0
Name_smith,0.0
Name_sidney,0.0
Name_sage,0.0
Ticket_367230,0.0
Name_brown,0.0
Name_campbell,0.0
Name_carl,0.0
Name_carter,0.0
Name_catherine,0.0
Name_charles,0.0
Name_daniel,0.0
Name_david,0.0
Name_davis,0.0
Name_dr,0.0
Name_edith,0.0
Name_elisabeth,0.0
Name_emily,0.0
Name_ernest,0.0
Name_ernst,0.0
Name_ethel,0.0
Name_eugene,0.0
Name_fortune,0.0
Name_francis,0.0
Name_brien,0.0
Name_bourke,0.0
Name_borland,0.0
Name_bertram,0.0
Ticket_sc,0.0
Ticket_pp,0.0
Ticket_paris,0.0
Ticket_oq,0.0
Ticket_o2,0.0
Ticket_ca,0.0
Ticket_ah,0.0
Ticket_9549,0.0
Name_albert,0.0
Name_frank,0.0
Name_alexander,0.0
Name_alice,0.0
Name_anders,0.0
Name_andersson,0.0
Name_anna,0.0
Name_anne,0.0
Name_arnold,0.0
Name_arthur,0.0
Name_august,0.0
Name_bertha,0.0
Name_alfred,0.0
Name_samuel,0.0
Name_frederick,0.0
Name_goodwin,0.0
Ticket_5735,0.0
Name_marie,0.0
Name_martha,0.0
Name_martin,0.0
Ticket_54636,0.0
Ticket_4133,0.0
Name_moran,0.0
Ticket_382652,0.0
Ticket_371110,0.0
Name_margaret,0.0
Name_nora,0.0
Name_olsen,0.0
Name_oskar,0.0
Name_palsson,0.0
Name_patrick,0.0
Name_percival,0.0
Name_peter,0.0
Name_rice,0.0
Name_richard,0.0
Name_robert,0.0
Name_norman,0.0
Name_george,0.0
Name_lillian,0.0
Name_laroche,0.0
Name_graham,0.0
Name_hanna,0.0
Name_hansen,0.0
Name_harris,0.0
Name_harry,0.0
Name_hart,0.0
Name_hugh,0.0
Name_ida,0.0
Name_leonard,0.0
Name_impe,0.0
Name_jane,0.0
Name_jean,0.0
Name_johan,0.0
Name_johansson,0.0
Ticket_6608,0.0
Name_joseph,0.0
Name_jr,0.0
Name_karl,0.0
Name_kate,0.0
Name_james,0.0
Ticket_370365,0.0
Name_edward,2.8576562274085228e-05
PassengerId,0.00020240924671500738
Name_maria,0.00020297940445740403
Ticket_pc,0.0005511406549359333
Name_mrs,0.0015980507967574553
Name_miss,0.0032918148496282607
Name_john,0.003470455306864473
Parch,0.0037203195538006995
Age,0.005393166026858664
Name_master,0.0054517326725693985
SibSp,0.0059500205869487234
Embarked,0.008800107919440026
Ticket_ston,0.010616561775755363
Cabin,0.027849685339040187
Sex,0.05079631417250158
Fare,0.07500985702879519
Pclass,0.18980108223970654
Name_mr,0.2858278897964127
