feature,mean_importance
Parch_sum_Age,-0.0036583658180790344
PassengerId,-0.0022575182182098864
Age,-0.002091350147815807
Parch_sum_Pclass,-0.0017997371434022359
Age_diff_SibSp,-0.0016201393444109536
Pclass_diff_Parch,-0.0009002492356984249
Parch_multiply_Age,-0.0008256967607473742
Name_mary,-0.0003810962928928907
Name_william,-0.00035628192325734
Name_henry,-0.0001285769710304474
Name_elizabeth,-0.00011531321089301994
Parch_ratio_SibSp,-6.0782377250667705e-05
Ticket_2343,0.0
Ticket_2315,0.0
Ticket_230433,0.0
Ticket_2144,0.0
Ticket_220845,0.0
Ticket_237736,0.0
Ticket_230080,0.0
Ticket_239853,0.0
Ticket_244367,0.0
Ticket_24160,0.0
Ticket_244252,0.0
Ticket_2123,0.0
Ticket_248738,0.0
Ticket_250655,0.0
Ticket_2627,0.0
Ticket_2653,0.0
Ticket_2666,0.0
Ticket_2668,0.0
Ticket_239865,0.0
Ticket_19996,0.0
Ticket_17757,0.0
Ticket_19943,0.0
Ticket_113505,0.0
Ticket_113572,0.0
Ticket_113760,0.0
Ticket_113776,0.0
Ticket_113781,0.0
Ticket_113789,0.0
Ticket_113806,0.0
Ticket_11668,0.0
Ticket_11751,0.0
Ticket_11967,0.0
Ticket_13502,0.0
Ticket_13507,0.0
Ticket_13529,0.0
Ticket_14879,0.0
Ticket_1601,0.0
Ticket_17421,0.0
Ticket_17453,0.0
Ticket_17569,0.0
Ticket_17572,0.0
Ticket_17582,0.0
Ticket_17604,0.0
Ticket_17755,0.0
Ticket_2699,0.0
Ticket_19950,0.0
Ticket_28403,0.0
Ticket_111361,0.0
Ticket_3101278,0.0
Ticket_349909,0.0
Ticket_363291,0.0
Ticket_364516,0.0
Ticket_364849,0.0
Ticket_367230,0.0
Ticket_370365,0.0
Ticket_371110,0.0
Ticket_382652,0.0
Ticket_4133,0.0
Ticket_54636,0.0
Ticket_5735,0.0
Ticket_6608,0.0
Ticket_9549,0.0
Ticket_ah,0.0
Ticket_ca,0.0
Ticket_o2,0.0
Ticket_oq,0.0
Ticket_paris,0.0
Ticket_pp,0.0
Ticket_sc,0.0
Ticket_soton,0.0
Ticket_349246,0.0
Ticket_29750,0.0
Ticket_349237,0.0
Ticket_349217,0.0
Ticket_3101295,0.0
Ticket_31027,0.0
Ticket_315153,0.0
Ticket_31921,0.0
Ticket_324669,0.0
Ticket_330877,0.0
Ticket_3336,0.0
Ticket_345765,0.0
Ticket_345767,0.0
Ticket_345773,0.0
Ticket_34651,0.0
Ticket_347077,0.0
Ticket_347080,0.0
Ticket_347082,0.0
Ticket_347742,0.0
Ticket_349207,0.0
Ticket_349209,0.0
Ticket_349213,0.0
Ticket_349214,0.0
Ticket_349215,0.0
Ticket_349216,0.0
Ticket_349219,0.0
Ticket_3101279,0.0
Ticket_110152,0.0
Name_hanna,0.0
Name_dr,0.0
Name_edith,0.0
Name_edward,0.0
Name_elisabeth,0.0
Name_emily,0.0
Name_ernest,0.0
Name_ernst,0.0
Name_ethel,0.0
Name_eugene,0.0
Name_davis,0.0
Name_fortune,0.0
Name_frank,0.0
Name_frederick,0.0
Name_george,0.0
Name_goodwin,0.0
Name_graham,0.0
Name_williams,0.0
Name_hansen,0.0
Name_harry,0.0
Name_hart,0.0
Name_francis,0.0
Name_hugh,0.0
Name_david,0.0
Name_charles,0.0
Name_albert,0.0
Name_alexander,0.0
Name_alfred,0.0
Name_alice,0.0
Name_anders,0.0
Name_andersson,0.0
Name_anne,0.0
Name_arnold,0.0
Name_arthur,0.0
Name_daniel,0.0
Name_august,0.0
Name_bertram,0.0
Name_borland,0.0
Name_bourke,0.0
Name_brien,0.0
Name_brown,0.0
Name_campbell,0.0
Name_carl,0.0
Name_carter,0.0
Name_catherine,0.0
Name_bertha,0.0
Name_ida,0.0
Name_harris,0.0
Name_james,0.0
Name_olsen,0.0
Name_oskar,0.0
Name_impe,0.0
Name_patrick,0.0
Name_percival,0.0
Name_peter,0.0
Name_rice,0.0
Name_richard,0.0
Name_robert,0.0
Name_sage,0.0
Name_samuel,0.0
Name_sidney,0.0
Name_smith,0.0
Name_sofia,0.0
Name_solomon,0.0
Name_thayer,0.0
Name_thomas,0.0
Name_van,0.0
Name_vander,0.0
Name_victor,0.0
Name_viktor,0.0
Name_norman,0.0
Name_nora,0.0
Name_palsson,0.0
Name_laroche,0.0
Name_johan,0.0
Name_johansson,0.0
Name_jane,0.0
Name_joseph,0.0
Name_jr,0.0
Name_karl,0.0
Name_kate,0.0
Name_leonard,0.0
Name_jean,0.0
Name_margaret,0.0
Name_marie,0.0
Name_martha,0.0
Name_martin,0.0
Name_moran,0.0
Name_lillian,0.0
Name_anna,1.6487949853460913e-05
Parch,8.859559368233905e-05
Name_maria,0.00033194208036428917
Name_master,0.0005660471529149391
Parch_ratio_Pclass,0.0005828280993371626
Ticket_pc,0.0011072471930055118
Pclass_ratio_Parch,0.0014098951707207318
SibSp,0.0025848068020828175
Name_mrs,0.0031253042115708786
Name_john,0.005435929998190192
Name_miss,0.0068541432111309366
Ticket_ston,0.008329678835463938
SibSp_ratio_Parch,0.010020658581943254
Embarked,0.01338853598456773
Age_multiply_Pclass,0.022836084805799017
Cabin,0.023421972194981332
Fare,0.04610288836492906
Sex,0.05429693826357627
Pclass,0.11388264902304387
Name_mr,0.28867413135085174
