feature,mean_importance
Name_ernest,-0.005566194369732458
Parch,-0.0005221081439612529
Name_dr,0.0
Ticket_54636,0.0
Name_hart,0.0
Ticket_382652,0.0
Ticket_3101295,0.0
Ticket_370365,0.0
Ticket_349215,0.0
Name_charles,0.0
Name_george,0.0
Name_karl,0.0
Name_fortune,0.0
Name_elizabeth,0.0
Name_eugene,0.0
Ticket_349207,0.0
Name_ida,0.0
Ticket_110152,0.0
Ticket_2343,0.0
Ticket_347077,0.0
Ticket_2123,0.0
Ticket_o2,0.0
Ticket_220845,0.0
Embarked,0.0
Ticket_2315,0.0
Ticket_347742,0.0
Name_jean,0.0
Name_moran,1.1102230246251566e-17
Name_maria,1.1102230246251566e-17
Ticket_3336,1.1102230246251566e-17
Name_patrick,1.1102230246251566e-17
Ticket_29750,1.1102230246251566e-17
Ticket_330877,1.1102230246251566e-17
Ticket_324669,1.1102230246251566e-17
Ticket_3101278,1.1102230246251566e-17
Name_mary,1.1102230246251566e-17
Ticket_315153,1.1102230246251566e-17
Name_norman,1.1102230246251566e-17
Name_nora,1.1102230246251566e-17
Ticket_3101279,1.1102230246251566e-17
Name_oskar,1.1102230246251566e-17
Ticket_28403,1.1102230246251566e-17
Name_vander,1.1102230246251566e-17
Ticket_2666,1.1102230246251566e-17
Ticket_17569,1.1102230246251566e-17
Ticket_17453,1.1102230246251566e-17
Ticket_17421,1.1102230246251566e-17
Ticket_14879,1.1102230246251566e-17
Ticket_11751,1.1102230246251566e-17
Ticket_230080,1.1102230246251566e-17
Ticket_113806,1.1102230246251566e-17
Ticket_113789,1.1102230246251566e-17
Ticket_113760,1.1102230246251566e-17
Ticket_113572,1.1102230246251566e-17
Ticket_113505,1.1102230246251566e-17
Ticket_2699,1.1102230246251566e-17
Ticket_111361,1.1102230246251566e-17
Ticket_237736,1.1102230246251566e-17
Ticket_239865,1.1102230246251566e-17
Ticket_soton,1.1102230246251566e-17
Name_van,1.1102230246251566e-17
Ticket_244252,1.1102230246251566e-17
Ticket_244367,1.1102230246251566e-17
Ticket_248738,1.1102230246251566e-17
Name_smith,1.1102230246251566e-17
Name_sidney,1.1102230246251566e-17
Name_samuel,1.1102230246251566e-17
Ticket_2627,1.1102230246251566e-17
Name_williams,1.1102230246251566e-17
Name_lillian,1.1102230246251566e-17
Ticket_17582,1.1102230246251566e-17
Ticket_349237,1.1102230246251566e-17
Name_anne,1.1102230246251566e-17
Name_alfred,1.1102230246251566e-17
SibSp,1.1102230246251566e-17
Name_elisabeth,1.1102230246251566e-17
Name_edward,1.1102230246251566e-17
Ticket_349246,1.1102230246251566e-17
Ticket_349909,1.1102230246251566e-17
Ticket_349219,1.1102230246251566e-17
Name_david,1.1102230246251566e-17
Name_arthur,1.1102230246251566e-17
Name_august,1.1102230246251566e-17
Name_albert,1.1102230246251566e-17
Name_carl,1.1102230246251566e-17
Name_brown,1.1102230246251566e-17
Name_alexander,1.1102230246251566e-17
Ticket_371110,1.1102230246251566e-17
Name_arnold,1.1102230246251566e-17
Ticket_4133,1.1102230246251566e-17
Ticket_349217,1.1102230246251566e-17
Ticket_pc,1.1102230246251566e-17
Name_kate,1.1102230246251566e-17
Name_anna,1.1102230246251566e-17
Ticket_347080,1.1102230246251566e-17
Ticket_17757,1.1102230246251566e-17
Name_johansson,1.1102230246251566e-17
Name_johan,1.1102230246251566e-17
Name_james,1.1102230246251566e-17
Name_francis,1.1102230246251566e-17
Ticket_pp,1.1102230246251566e-17
Ticket_349209,1.1102230246251566e-17
Ticket_349213,1.1102230246251566e-17
Name_harris,1.1102230246251566e-17
Name_hansen,1.1102230246251566e-17
Ticket_349214,1.1102230246251566e-17
Name_goodwin,1.1102230246251566e-17
Name_frederick,1.1102230246251566e-17
Name_impe,1.1102230246251566e-17
Ticket_5735,1.1102230246251566e-17
Ticket_345773,2.2204460492503132e-17
Ticket_19996,2.2204460492503132e-17
Ticket_19950,2.2204460492503132e-17
