feature,mean_importance
Name_ernest,-0.002703312349742637
Ticket_pp,-0.0014837712442602236
Name_elizabeth,-0.0007369138366689843
Age_diff_SibSp,-0.00040925847381331206
Name_goodwin,-2.2204460492503132e-17
Name_olsen,-2.2204460492503132e-17
Name_brown,-2.2204460492503132e-17
Ticket_364849,-2.2204460492503132e-17
Name_richard,-2.2204460492503132e-17
Name_samuel,-2.2204460492503132e-17
Name_williams,-2.2204460492503132e-17
Ticket_2653,-2.2204460492503132e-17
Ticket_17453,-2.2204460492503132e-17
Ticket_2343,-2.2204460492503132e-17
Ticket_13502,-2.2204460492503132e-17
Name_hansen,-2.2204460492503132e-17
Name_hugh,-1.1102230246251566e-17
Name_martha,-1.1102230246251566e-17
Name_hanna,-1.1102230246251566e-17
Name_leonard,-1.1102230246251566e-17
Name_jr,-1.1102230246251566e-17
Name_john,-1.1102230246251566e-17
Ticket_349246,-1.1102230246251566e-17
Name_hart,-1.1102230246251566e-17
Name_johan,-1.1102230246251566e-17
Name_jane,-1.1102230246251566e-17
Ticket_347080,-1.1102230246251566e-17
Ticket_363291,-1.1102230246251566e-17
Name_harry,-1.1102230246251566e-17
Ticket_345773,-1.1102230246251566e-17
PassengerId,-1.1102230246251566e-17
Ticket_3336,-1.1102230246251566e-17
Ticket_220845,-1.1102230246251566e-17
Ticket_230080,-1.1102230246251566e-17
Ticket_230433,-1.1102230246251566e-17
Ticket_13507,-1.1102230246251566e-17
Ticket_11668,-1.1102230246251566e-17
Ticket_113789,-1.1102230246251566e-17
Ticket_113505,-1.1102230246251566e-17
Ticket_345765,-1.1102230246251566e-17
Ticket_244367,-1.1102230246251566e-17
Ticket_29750,-1.1102230246251566e-17
Ticket_3101278,-1.1102230246251566e-17
Ticket_3101279,-1.1102230246251566e-17
Name_rice,-1.1102230246251566e-17
Ticket_31027,-1.1102230246251566e-17
Ticket_315153,-1.1102230246251566e-17
Name_norman,-1.1102230246251566e-17
Name_solomon,-1.1102230246251566e-17
Name_percival,-1.1102230246251566e-17
Ticket_17757,-1.1102230246251566e-17
Name_bourke,-1.1102230246251566e-17
Name_daniel,-1.1102230246251566e-17
Name_charles,-1.1102230246251566e-17
Name_catherine,-1.1102230246251566e-17
Name_alexander,-1.1102230246251566e-17
Name_alfred,-1.1102230246251566e-17
Name_alice,-1.1102230246251566e-17
Ticket_6608,-1.1102230246251566e-17
Name_anders,-1.1102230246251566e-17
Ticket_paris,-1.1102230246251566e-17
Name_bertram,-1.1102230246251566e-17
Ticket_soton,-1.1102230246251566e-17
Name_bertha,-1.1102230246251566e-17
Name_arthur,-1.1102230246251566e-17
Name_arnold,-1.1102230246251566e-17
Name_george,-1.1102230246251566e-17
Embarked,-1.1102230246251566e-17
Name_albert,-1.1102230246251566e-17
Ticket_sc,-1.1102230246251566e-17
Age_multiply_Pclass,-1.1102230246251566e-17
Parch_ratio_SibSp,-1.1102230246251566e-17
Name_edward,-1.1102230246251566e-17
Name_emily,-1.1102230246251566e-17
Ticket_382652,-1.1102230246251566e-17
Name_ethel,-1.1102230246251566e-17
Ticket_370365,-1.1102230246251566e-17
Name_edith,-1.1102230246251566e-17
Name_frank,-1.1102230246251566e-17
Ticket_371110,-1.1102230246251566e-17
Ticket_4133,-1.1102230246251566e-17
Ticket_19996,0.0
Ticket_2627,0.0
Ticket_2666,0.0
Ticket_250655,0.0
Ticket_19950,0.0
Ticket_248738,0.0
Pclass_diff_Parch,0.0
Ticket_2144,0.0
Ticket_244252,0.0
Ticket_24160,0.0
Ticket_239865,0.0
