feature,mean_importance
Ticket_pp,-0.0016422316163672624
Name_ernest,-0.0011362153279976695
Pclass_ratio_Parch,-0.0008902249068964308
Parch_sum_Age,-0.0003029183508372002
random_feature,-5.473474457045047e-05
Name_charles,0.0
Ticket_3101279,0.0
Name_david,0.0
Ticket_3101278,0.0
Ticket_2699,0.0
Ticket_2668,0.0
Name_edward,0.0
Ticket_2653,0.0
Ticket_2627,0.0
Name_eugene,0.0
Ticket_17453,0.0
Ticket_2343,0.0
Ticket_11967,0.0
Name_johansson,0.0
Name_johan,0.0
Name_goodwin,0.0
Ticket_19996,0.0
Name_hanna,0.0
Ticket_17755,0.0
Ticket_17421,0.0
Name_impe,0.0
Name_jr,0.0
Ticket_31921,0.0
Name_laroche,0.0
Name_campbell,0.0
Age_diff_SibSp,0.0
Name_richard,0.0
Age_multiply_Pclass,0.0
Parch,0.0
Ticket_oq,0.0
Name_alexander,0.0
Name_alfred,0.0
Ticket_o2,0.0
Name_carl,0.0
Name_smith,0.0
Name_ida,0.0
Ticket_349217,0.0
Name_solomon,0.0
Name_thayer,0.0
Ticket_349207,0.0
Ticket_347080,0.0
Ticket_345765,0.0
Ticket_111361,1.1102230246251566e-17
Name_williams,1.1102230246251566e-17
Name_rice,1.1102230246251566e-17
Ticket_14879,1.1102230246251566e-17
Ticket_13502,1.1102230246251566e-17
Name_samuel,1.1102230246251566e-17
Name_viktor,1.1102230246251566e-17
Name_sofia,1.1102230246251566e-17
Name_van,1.1102230246251566e-17
Ticket_113776,1.1102230246251566e-17
Name_william,1.1102230246251566e-17
Name_sidney,1.1102230246251566e-17
Ticket_244252,1.1102230246251566e-17
Ticket_17582,1.1102230246251566e-17
Parch_ratio_SibSp,1.1102230246251566e-17
Parch_multiply_Age,1.1102230246251566e-17
Pclass_diff_Parch,1.1102230246251566e-17
Ticket_ah,1.1102230246251566e-17
Ticket_4133,1.1102230246251566e-17
Ticket_349246,1.1102230246251566e-17
Ticket_349215,1.1102230246251566e-17
